experimentId,pairId,precision,recall,fMeasure,executionTime,matcher,truePositives,falsePositives,falseNegatives
exp4,cmt-conference,0.4,0.3333333333333333,0.3636363636363636,92,COMA,2,3,4
exp4,cmt-conference,0.6666666666666666,0.3333333333333333,0.4444444444444444,843,LogMap,2,1,4
exp4,cmt-conference,0.5,0.3333333333333333,0.4,217,AML,2,2,4
exp4,cmt-confOf,0.6,0.3333333333333333,0.42857142857142855,97,COMA,3,2,6
exp4,cmt-confOf,0.6666666666666666,0.2222222222222222,0.3333333333333333,907,LogMap,2,1,7
exp4,cmt-confOf,0.8333333333333334,0.5555555555555556,0.6666666666666667,116,AML,5,1,4
exp4,cmt-edas,0.5,0.5,0.5,130,COMA,3,3,3
exp4,cmt-edas,0.5,0.3333333333333333,0.4,1005,LogMap,2,2,4
exp4,cmt-edas,0.375,0.5,0.42857142857142855,411,AML,3,5,3
exp4,cmt-ekaw,0.2857142857142857,0.5,0.36363636363636365,72,COMA,2,5,2
exp4,cmt-ekaw,0.5,0.25,0.3333333333333333,753,LogMap,1,1,3
exp4,cmt-ekaw,1.0,0.5,0.6666666666666666,154,AML,2,0,2
exp4,cmt-iasted,0.6666666666666666,1.0,0.8,106,COMA,2,1,0
exp4,cmt-iasted,0.0,0.0,0.0,1260,LogMap,0,1,2
exp4,cmt-iasted,0.6666666666666666,1.0,0.8,215,AML,2,1,0
exp4,cmt-sigkdd,0.4,0.2857142857142857,0.3333333333333333,74,COMA,2,3,5
exp4,cmt-sigkdd,0.5,0.14285714285714285,0.22222222222222224,774,LogMap,1,1,6
exp4,cmt-sigkdd,0.3333333333333333,0.2857142857142857,0.30769230769230765,357,AML,2,4,5
exp4,conference-confOf,0.3333333333333333,0.3333333333333333,0.3333333333333333,115,COMA,2,4,4
exp4,conference-confOf,0.4,0.3333333333333333,0.3636363636363636,880,LogMap,2,3,4
exp4,conference-confOf,0.5714285714285714,0.6666666666666666,0.6153846153846153,290,AML,4,3,2
exp4,conference-edas,0.5,0.5,0.5,127,COMA,4,4,4
exp4,conference-edas,0.75,0.375,0.5,1570,LogMap,3,1,5
exp4,conference-edas,0.8,0.5,0.6153846153846154,451,AML,4,1,4
exp4,conference-ekaw,0.5714285714285714,0.36363636363636365,0.4444444444444444,101,COMA,4,3,7
exp4,conference-ekaw,0.5714285714285714,0.36363636363636365,0.4444444444444444,1224,LogMap,4,3,7
exp4,conference-ekaw,0.5555555555555556,0.45454545454545453,0.5,249,AML,5,4,6
exp4,conference-iasted,0.3333333333333333,0.2222222222222222,0.26666666666666666,117,COMA,2,4,7
exp4,conference-iasted,0.3333333333333333,0.1111111111111111,0.16666666666666666,1598,LogMap,1,2,8
exp4,conference-iasted,0.6,0.3333333333333333,0.42857142857142855,406,AML,3,2,6
exp4,conference-sigkdd,0.5,0.2,0.28571428571428575,162,COMA,1,1,4
exp4,conference-sigkdd,0.0,0.0,0.0,1250,LogMap,0,1,5
exp4,conference-sigkdd,0.6666666666666666,0.4,0.5,268,AML,2,1,3
exp4,confOf-edas,0.25,0.16666666666666666,0.2,79,COMA,1,3,5
exp4,confOf-edas,0.5,0.16666666666666666,0.25,858,LogMap,1,1,5
exp4,confOf-edas,0.3333333333333333,0.16666666666666666,0.2222222222222222,67,AML,1,2,5
exp4,confOf-ekaw,1.0,0.1,0.18181818181818182,60,COMA,1,0,9
exp4,confOf-ekaw,1.0,0.1,0.18181818181818182,776,LogMap,1,0,9
exp4,confOf-ekaw,1.0,0.2,0.33333333333333337,49,AML,2,0,8
exp4,confOf-iasted,0.5,0.2,0.28571428571428575,67,COMA,1,1,4
exp4,confOf-iasted,1.0,0.2,0.33333333333333337,1157,LogMap,1,0,4
exp4,confOf-iasted,1.0,0.2,0.33333333333333337,124,AML,1,0,4
exp4,confOf-sigkdd,1.0,0.14285714285714285,0.25,75,COMA,1,0,6
exp4,confOf-sigkdd,0.0,0.0,0.0,932,LogMap,0,0,0
exp4,confOf-sigkdd,1.0,0.14285714285714285,0.25,42,AML,1,0,6
exp4,edas-ekaw,0.3333333333333333,0.1111111111111111,0.16666666666666666,78,COMA,1,2,8
exp4,edas-ekaw,0.5,0.1111111111111111,0.1818181818181818,903,LogMap,1,1,8
exp4,edas-ekaw,0.3333333333333333,0.1111111111111111,0.16666666666666666,393,AML,1,2,8
exp4,edas-iasted,0.3333333333333333,0.1111111111111111,0.16666666666666666,87,COMA,1,2,8
exp4,edas-iasted,0.0,0.0,0.0,835,LogMap,0,0,0
exp4,edas-iasted,0.5,0.1111111111111111,0.1818181818181818,246,AML,1,1,8
exp4,edas-sigkdd,1.0,0.4,0.5714285714285715,93,COMA,4,0,6
exp4,edas-sigkdd,1.0,0.1111111111111111,0.19999999999999998,818,LogMap,1,0,8
exp4,edas-sigkdd,1.0,0.6666666666666666,0.8,120,AML,6,0,3
exp4,ekaw-iasted,0.5,0.5,0.5,75,COMA,1,1,1
exp4,ekaw-iasted,0.0,0.0,0.0,801,LogMap,0,0,0
exp4,ekaw-iasted,0.5,0.5,0.5,659,AML,1,1,1
exp4,ekaw-sigkdd,0.4,0.4,0.4000000000000001,64,COMA,2,3,3
exp4,ekaw-sigkdd,0.0,0.0,0.0,867,LogMap,0,0,0
exp4,ekaw-sigkdd,0.5,0.4,0.4444444444444445,187,AML,2,2,3
exp4,iasted-sigkdd,0.5,1.0,0.6666666666666666,89,COMA,2,2,0
exp4,iasted-sigkdd,0.5,0.5,0.5,817,LogMap,1,1,1
exp4,iasted-sigkdd,0.4,1.0,0.5714285714285715,596,AML,2,3,0
