experimentId,pairId,precision,recall,fMeasure,executionTime,matcher,truePositives,falsePositives,falseNegatives
exp1,cmt-conference,0.6363636363636364,0.4666666666666667,0.5384615384615385,3936,COMA,7,4,8
exp1,cmt-conference,0.15555555555555556,0.4666666666666667,0.23333333333333334,7155,LogMap,7,38,8
exp1,cmt-confOf,0.0,0.0,0.0,347,COMA,0,6,16
exp1,cmt-confOf,0.09090909090909091,0.23529411764705882,0.13114754098360656,11172,LogMap,4,40,13
exp1,cmt-edas,0.5,0.6153846153846154,0.5517241379310345,826,COMA,8,8,5
exp1,cmt-edas,0.18604651162790697,0.6153846153846154,0.2857142857142857,4774,LogMap,8,35,5
exp1,cmt-ekaw,0.2777777777777778,0.45454545454545453,0.3448275862068966,200,COMA,5,13,6
exp1,cmt-ekaw,0.10204081632653061,0.45454545454545453,0.16666666666666669,1007,LogMap,5,44,6
exp1,cmt-iasted,0.05084745762711865,0.75,0.09523809523809525,1534,LogMap,3,56,1
exp1,cmt-sigkdd,0.6923076923076923,0.75,0.7199999999999999,383,COMA,9,4,3
exp1,cmt-sigkdd,0.22,0.9166666666666666,0.3548387096774193,911,LogMap,11,39,1
exp1,conference-confOf,0.7,0.4666666666666667,0.56,193,COMA,7,3,8
exp1,conference-confOf,0.10810810810810811,0.5333333333333333,0.1797752808988764,1747,LogMap,8,66,7
exp1,conference-edas,0.5714285714285714,0.47058823529411764,0.5161290322580646,1422,COMA,8,6,9
exp1,conference-edas,0.13043478260869565,0.5294117647058824,0.20930232558139533,1294,LogMap,9,60,8
exp1,conference-ekaw,0.5238095238095238,0.44,0.4782608695652174,199,COMA,11,10,14
exp1,conference-ekaw,0.07865168539325842,0.28,0.12280701754385967,1033,LogMap,7,82,18
exp1,conference-iasted,0.044444444444444446,0.2857142857142857,0.07692307692307693,1185,LogMap,4,86,10
exp1,conference-sigkdd,0.7272727272727273,0.5333333333333333,0.6153846153846153,660,COMA,8,3,7
exp1,conference-sigkdd,0.10112359550561797,0.6,0.17307692307692304,840,LogMap,9,80,6
exp1,confOf-edas,0.5238095238095238,0.5789473684210527,0.5500000000000002,247,COMA,11,10,8
exp1,confOf-edas,0.08571428571428572,0.47368421052631576,0.14516129032258066,1115,LogMap,9,96,10
exp1,confOf-ekaw,0.5625,0.45,0.5,147,COMA,9,7,11
exp1,confOf-ekaw,0.0990990990990991,0.55,0.16793893129770993,881,LogMap,11,100,9
exp1,confOf-iasted,0.025,0.3333333333333333,0.0465116279069767exp1,edas-sigkdd,0.36363636363636365,0.8,0.5000000000000001,1127,COMA,4,7,1
exp1,edas-sigkdd,0.5714285714285714,0.8,0.6666666666666666,2719,LogMap,4,3,1
exp1,ekaw-iasted,0.38461538461538464,0.5,0.4347826086956522,1586,LogMap,5,8,5
exp1,ekaw-sigkdd,0.5833333333333334,0.6363636363636364,0.6086956521739131,275,COMA,7,5,4
exp1,ekaw-sigkdd,0.6363636363636364,0.6363636363636364,0.6363636363636364,887,LogMap,7,4,4
exp1,iasted-sigkdd,0.4375,0.9333333333333333,0.5957446808510638,1513,LogMap,14,18,1
